Name,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
HICKS,HICKS,NULL,NULL,123,175,124,NA,4,4,53,G00000107
SCHNECTADY AVE,SCHNECTADY AVE,NULL,NULL,NA,NA,NA,NA,995,995,54,G00000109
WASHINGTON AVE,WASHINGTON AVE,NULL,NULL,661,689,688,716,181,180,55,G00000110
E 18,E 18,NULL,NULL,2253,2295,2258,2296,1407,1407,56,G00000114
LEWIS AVE,LEWIS AVE,NULL,NULL,243,259,246,258,597,592,57,G00000115
AVE J,AVE J,NULL,NULL,4801,4823,4802,4824,999,999,58,G00000117
E 46,E 46,NULL,NULL,233,279,234,280,951,945,59,G00000118
MESEROLE AVE,MESEROLE AVE,NULL,NULL,129,143,122,136,378,378,60,G00000120
RADDE PL,RADDE PL,NULL,NULL,1,33,2,34,711,711,61,G00000121
AVE H,AVE H,NULL,NULL,4801,4815,4802,4816,999,999,62,G00000123
7 AVE,7 AVE,NULL,NULL,5401,5425,5402,5424,1093,156,63,G00000124
CLARKSON AVE,CLARKSON AVE,NULL,NULL,NA,NA,NA,NA,954,953,64,G00000125
DUMONT AVE,DUMONT AVE,NULL,NULL,155,179,156,180,963,963,65,G00000130
3 AVE,3 AVE,NULL,NULL,8916,9001,8924,NA,1081,1081,66,G00000131
86,86,NULL,NULL,NA,NA,NA,NA,1038,1038,67,G00000132
GERRITSEN AVE,GERRITSEN AVE,NULL,NULL,2045,2083,2046,2084,1001,1005,68,G00000136
AVE Q,AVE Q,NULL,NULL,121,141,122,142,1031,1031,69,G00000137
AVE M,AVE M,NULL,NULL,NA,NA,NA,NA,989,989,70,G00000141
14 AVE,14 AVE,NULL,NULL,8001,8023,8002,8024,1074,1078,71,G00000142
CANARSIE RD,CANARSIE RD,NULL,NULL,NA,NA,NA,NA,988,989,72,G00000143
E 8,E 8,NULL,NULL,455,535,456,542,1023,1023,73,G00000147
TILDEN AVE,TILDEN AVE,NULL,NULL,2705,2715,2710,2730,993,1404,74,G00000148
PRESIDENT,PRESIDENT,NULL,NULL,87,129,90,134,70,71,75,G00000150
1,1,NULL,NULL,333,383,314,370,533,536,76,G00000151
AVE J,AVE J,NULL,NULL,NA,NA,NA,NA,1008,1008,77,G00000152
WELDON,WELDON,NULL,NULL,119,155,118,160,971,975,78,G00000153
HEYWARD,HEYWARD,NULL,NULL,139,191,120,180,440,445,79,G00000154
PROSPECT AVE,PROSPECT AVE,NULL,NULL,1213,1237,1214,1246,920,920,80,G00000155
4 AVE,4 AVE,NULL,NULL,5701,5721,NA,NA,159,159,81,G00000156
62,62,NULL,NULL,1601,1679,1602,NA,1059,1059,82,G00000159
21 AVE,21 AVE,NULL,NULL,7601,7623,7602,7622,1057,1057,83,G00000169
CT,CT,NULL,NULL,225,229,222,230,198,58,84,G00000170
E 51,E 51,NULL,NULL,NA,NA,NA,NA,1001,1001,85,G00000172
E 15,E 15,NULL,NULL,2279,2375,2280,2376,1407,1407,86,G00000173
E 100,E 100,NULL,NULL,1201,1279,1202,1280,988,988,87,G00000175
GRAND AVE,GRAND AVE,NULL,NULL,NA,NA,NA,NA,193,192,88,G00000176
NASSAU AVE,NASSAU AVE,NULL,NULL,51,65,NA,NA,386,386,89,G00000179
MORGAN AVE,MORGAN AVE,NULL,NULL,NA,NA,NA,NA,417,416,90,G00000181
62,62,NULL,NULL,1501,1579,1502,1580,1059,1059,91,G00000182
SCHNECTADY AVE,SCHNECTADY AVE,NULL,NULL,NA,NA,NA,NA,999,999,92,G00000188
SCOTT AVE,SCOTT AVE,NULL,NULL,NA,NA,NA,NA,416,416,93,G00000189
AVE U,AVE U,NULL,NULL,NA,NA,300,322,1037,1037,94,G00000191
FARRAGUT RD,FARRAGUT RD,NULL,NULL,NA,NA,NA,NA,995,995,95,G00000192
BKLYN AVE,BKLYN AVE,NULL,NULL,569,591,570,592,941,940,96,G00000196
MC KINLEY AVE,MC KINLEY AVE,NULL,NULL,NA,NA,NA,NA,971,976,97,G00000197
FULTON,FULTON,NULL,NULL,1373,1434,1360,1420,608,605,98,G00000198
OCEAN PKWY,OCEAN PKWY,NULL,NULL,NA,NA,NA,NA,921,921,99,G00000200
REMSEN AVE,REMSEN AVE,NULL,NULL,NA,NA,NA,NA,987,990,100,G00000201
DEBEVOISE AVE,DEBEVOISE AVE,NULL,NULL,NA,NA,NA,NA,408,409,101,G00000202
HOPKINSON AVE,THOMAS BOYLAND,HOPKINSON AVE,NULL,91,109,90,104,716,716,102,G00000207
ROGERS AVE,ROGERS AVE,NULL,NULL,1233,1263,1236,1264,1405,1012,103,G00000208
36,36,NULL,NULL,NA,NA,NA,NA,923,923,104,G00000209
E 105,E 105,NULL,NULL,901,985,902,986,988,988,105,G00000213
AVE B,AVE B,NULL,NULL,NA,NA,NA,NA,987,987,106,G00000214
VANDYKE,VANDYKE,NULL,NULL,142,174,141,175,240,240,107,G00000215
AUTUMN AVE,AUTUMN AVE,NULL,NULL,687,745,688,746,981,980,108,G00000217
NEWJERSEY AVE,NEWJERSEY AVE,NULL,NULL,107,165,114,164,759,753,109,G00000218
E NEW YORK AVE,E NEW YORK AVE,NULL,NULL,381,391,1644,1656,643,745,110,G00000221
BERGEN,BERGEN,NULL,NULL,1023,1087,1016,1086,623,624,111,G00000223
W 12,W 12,NULL,NULL,1801,1893,1802,1888,1031,1031,112,G00000227
14 AVE,14 AVE,NULL,NULL,4201,4223,4202,4224,1063,1063,113,G00000228
3 AVE,3 AVE,NULL,NULL,121,133,120,138,206,205,114,G00000230
UNION AVE,UNION AVE,NULL,NULL,NA,NA,302,318,289,297,115,G00000232
RYERSON WALK,RYERSON WALK,NULL,NULL,1,57,NA,NA,83,81,116,G00000234
ROCHESTER AVE,ROCHESTER AVE,NULL,NULL,21,53,22,54,705,704,117,G00000235
OCEAN PKWY,OCEAN PKWY,NULL,NULL,1201,1295,NA,NA,1030,1030,118,G00000236
FLEET PL,FLEET PL,NULL,NULL,0,0,0,0,232,229,119,G00000237
LEXINGTON AVE,LEXINGTON AVE,NULL,NULL,433,495,410,468,583,585,120,G00000238
STATE,STATE,NULL,NULL,221,257,246,280,23,23,121,G00000242
E 13,E 13,NULL,NULL,1901,1983,1902,1984,1006,1006,122,G00000244
FLATBUSH AVE,FLATBUSH AVE,NULL,NULL,559,579,556,576,931,931,123,G00000245
20,20,NULL,NULL,607,625,606,612,919,919,124,G00000247
AVE N,AVE N,NULL,NULL,NA,NA,NA,NA,988,988,125,G00000255
68,68,NULL,NULL,1901,1985,1902,1986,1058,1057,126,G00000256
SCHNECTADY AVE,SCHNECTADY AVE,NULL,NULL,255,273,NA,NA,662,662,127,G00000261
AVE T,AVE T,NULL,NULL,3901,3923,3902,3924,1001,1001,128,G00000262
OCEAN PKWY,OCEAN PKWY,NULL,NULL,181,255,NA,NA,1021,1021,129,G00000264
CLINTON,CLINTON,NULL,NULL,49,65,58,76,12,7,130,G00000265
DECATUR,DECATUR,NULL,NULL,305,373,294,358,620,620,131,G00000266
PROSPECT PL,PROSPECT PL,NULL,NULL,1211,1289,1216,1300,648,648,132,G00000267
47,47,NULL,NULL,1215,1267,1214,1268,1410,1410,133,G00000269
ATLANTIC AVE,ATLANTIC AVE,NULL,NULL,NA,NA,2620,2634,753,754,134,G00000270
W 8,W 8,NULL,NULL,1701,1709,1702,1710,1031,1031,135,G00000272
34,34,NULL,NULL,191,233,NA,NA,132,133,136,G00000275
E 3,E 3,NULL,NULL,679,741,676,738,1027,1027,137,G00000276
SCHOLES,SCHOLES,NULL,NULL,NA,NA,NA,NA,416,416,138,G00000277
MEADOW,MEADOW,NULL,NULL,1,39,2,40,417,417,139,G00000278
EVANS,EVANS,NULL,NULL,11,25,12,22,41,42,140,G00000279
ESPLANADE,ESPLANADE,NULL,NULL,NA,NA,NA,NA,1034,1034,141,G00000281
E 84,E 84,NULL,NULL,1301,1383,1302,1384,989,989,142,G00000282
STILLWELL AVE,STILLWELL AVE,NULL,NULL,NA,NA,NA,NA,1038,1048,143,G00000284
21 AVE,21 AVE,NULL,NULL,6001,6023,NA,NA,1058,1058,144,G00000285
MONTGOMERY,MONTGOMERY,NULL,NULL,347,353,350,370,677,677,145,G00000289
E 49,E 49,NULL,NULL,339,409,340,410,951,951,146,G00000293
DOUGHTY,DOUGHTY,NULL,NULL,51,61,50,58,1,1,147,G00000296
STRAUSS,STRAUSS,NULL,DOUGLASS,1847,1943,1872,1940,728,728,148,G00000298
GIRARD,GIRARD,NULL,NULL,101,199,100,198,1034,1034,149,G00000299
NEW YORK AVE,NEW YORK AVE,NULL,NULL,NA,NA,NA,NA,625,624,150,G00000300
INDIA,INDIA,NULL,NULL,1,27,2,28,360,360,151,G00000302
FROST,FROST,NULL,NULL,1,47,2,50,297,297,152,G00000303
GLENMORE AVE,GLENMORE AVE,NULL,NULL,631,655,632,656,779,780,153,G00000304
GEORGIA AVE,GEORGIA AVE,NULL,NULL,309,367,310,368,792,792,154,G00000306
AVE H,AVE H,NULL,NULL,3901,3923,3902,3924,996,996,155,G00000307
COLUMBIA,COLUMBIA,NULL,NULL,NA,NA,NA,NA,252,245,156,G00000308
E 55,E 55,NULL,NULL,1715,1759,1716,1760,1001,1001,157,G00000309
MANHATTAN AVE,MANHATTAN AVE,NULL,NULL,305,323,312,330,302,306,158,G00000311
AVE W,AVE W,NULL,NULL,NA,NA,NA,NA,1003,1003,159,G00000314
ELDERT LN,ELDERT LN,NULL,NULL,NA,NA,NA,NA,970,970,160,G00000316
BERGEN,BERGEN,BERGEN,NULL,2011,2081,2012,2086,641,641,161,G00000319
10 AVE,10 AVE,NULL,NULL,NA,6702,6724,6701,1068,1068,162,G00000320
E 34,E 34,NULL,NULL,537,617,538,618,994,994,163,G00000323
UTICA AVE,UTICA AVE,NULL,NULL,NA,NA,NA,NA,995,995,164,G00000324
BELMONT AVE,BELMONT AVE,NULL,NULL,895,913,896,908,978,978,165,G00000327
SHEPHERD AVE,SHEPHERD AVE,NULL,NULL,337,363,336,364,777,777,166,G00000328
REEVE PL,REEVE PL,NULL,NULL,31,61,28,52,920,920,167,G00000330
E 80,E 80,NULL,NULL,NA,NA,NA,NA,989,989,168,G00000331
23 AVE,23 AVE,NULL,NULL,8601,8671,8602,8666,1050,1051,169,G00000332
ATLANTIC AVE,ATLANTIC AVE,NULL,NULL,NA,NA,2818,2840,766,766,170,G00000334
JAY,JAY,NULL,NULL,259,269,260,286,38,38,171,G00000335
SAINT MARKS AVE,SAINT MARKS AVE,NULL,NULL,1393,1457,1396,1462,638,646,172,G00000339
JEFFERSON AVE,JEFFERSON AVE,NULL,NULL,271,343,274,344,606,606,173,G00000340
CORTELYOU RD,CORTELYOU RD,NULL,NULL,NA,NA,NA,NA,1022,1022,174,G00000341
UNDERHILL AVE,UNDERHILL AVE,NULL,NULL,NA,NA,NA,NA,192,192,175,G00000342
E 16,E 16,NULL,NULL,NA,NA,NA,NA,1406,1406,176,G00000344
ALBEMARLE RD,ALBEMARLE RD,NULL,NULL,1301,1325,NA,NA,1019,1019,177,G00000345
DUMONT AVE,DUMONT AVE,NULL,NULL,533,563,542,564,805,805,178,G00000346
LEXINGTON AVE,90,LEXINGTON AVE,NULL,301,367,302,368,1081,1081,179,G00000351
16 AVE,16 AVE,NULL,NULL,7701,7723,7702,7724,1074,1074,180,G00000353
7 AVE,7 AVE,NULL,NULL,161,171,156,170,566,566,181,G00000356
MYRTLE AVE,MYRTLE AVE,NULL,NULL,579,597,586,602,83,94,182,G00000358
NOSTRAND AVE,NOSTRAND AVE,NULL,NULL,1707,1731,1696,1744,1404,1404,183,G00000359
86,86,NULL,NULL,NA,NA,1464,1484,1077,1077,184,G00000360
N 8,N 8,NULL,NULL,157,195,156,198,280,288,185,G00000363
4 AVE,4 AVE,NULL,NULL,NA,NA,378,396,539,523,186,G00000364
BATH AVE,BATH AVE,NULL,NULL,2401,2421,2402,2422,1050,1050,187,G00000365
JOHNSON AVE,JOHNSON AVE,NULL,NULL,243,259,228,246,340,342,188,G00000368
FULTON,FULTON,NULL,NULL,1813,1829,1858,1872,703,704,189,G00000370
19,19,NULL,NULL,1,109,2,110,115,115,190,G00000373
AVE Q,AVE Q,NULL,NULL,NA,NA,NA,NA,1001,1001,191,G00000375
RIDGE BLVD,RIDGE BLVD,NULL,NULL,7701,NA,7702,NA,1413,1099,192,G00000377
WEIRFIELD,WEIRFIELD,NULL,NULL,177,233,180,236,905,907,193,G00000378
NARROWS AVE,NARROWS AVE,NULL,NULL,NA,NA,NA,NA,1083,1083,194,G00000379
70 AVE,70 AVE,NULL,NULL,1501,NA,1502,NA,1412,1412,195,G00000380
ATLANTIC AVE,ATLANTIC AVE,NULL,NULL,2767,2783,NA,NA,764,764,196,G00000381
FLATLAND AVE,FLATLAND AVE,NULL,NULL,NA,NA,NA,NA,1008,1001,197,G00000382
60,60,NULL,NULL,NA,NA,NA,NA,1059,1059,198,G00000386
SHEPHERD AVE,SHEPHERD AVE,NULL,NULL,NA,NA,752,806,983,983,199,G00000388
E 9,E 9,NULL,NULL,517,563,514,564,1026,1026,200,G00000391
FLATBUSH AVE,FLATBUSH AVE,NULL,NULL,581,699,578,604,931,931,201,G00000394
65,65,NULL,NULL,1001,1071,1002,1078,1068,1068,202,G00000395
CT,CT,NULL,NULL,369,406,388,383,217,78,203,G00000396
W 23,W 23,NULL,NULL,2801,2881,2802,2880,1046,1046,204,G00000397
KENT AVE,KENT AVE,NULL,NULL,403,421,404,422,270,270,205,G00000400
KEAP,KEAP,NULL,NULL,443,459,432,450,307,308,206,G00000401
E 43,E 43,NULL,NULL,NA,NA,NA,NA,999,999,207,G00000402
FULTON,FULTON,NULL,NULL,1035,1055,1004,1038,112,112,208,G00000405
E 27,E 27,NULL,NULL,1301,1385,1302,1386,1008,1008,209,G00000406
SAINT NICHOLASS AVE,SAINT NICHOLASS AVE,NULL,NULL,81,101,82,102,864,864,210,G00000407
TILDEN AVE,TILDEN AVE,NULL,NULL,3401,3423,3402,NA,992,992,211,G00000408
BOERUM,BOERUM,NULL,NULL,219,291,218,290,421,421,212,G00000411
19 AVE,19 AVE,NULL,NULL,8401,8417,8402,8422,1054,1055,213,G00000412
BROADWAY,BROADWAY,NULL,NULL,867,883,872,880,812,517,214,G00000417
67,67,NULL,NULL,1201,1279,1202,1280,1070,1070,215,G00000421
UTICA AVE,UTICA AVE,NULL,NULL,NA,NA,NA,NA,1000,1000,216,G00000423
KEAP,KEAP,NULL,NULL,173,233,176,236,436,441,217,G00000424
AVE K,AVE K,NULL,NULL,2301,2317,2302,2318,1008,1008,218,G00000426
CORTELYOU RD,CORTELYOU RD,NULL,NULL,NA,NA,NA,NA,992,992,219,G00000429
PARK AVE,PARK AVE,NULL,NULL,851,899,850,904,506,508,220,G00000430
VOORHEES AVE,VOORHEES AVE,NULL,NULL,2001,2021,2002,2022,1004,1004,221,G00000432
LIBERTY AVE,LIBERTY AVE,NULL,NULL,789,815,792,816,974,977,222,G00000433
MIDWOOD,MIDWOOD,NULL,NULL,315,379,312,388,940,940,223,G00000434
HANCOCK,HANCOCK,NULL,NULL,1389,NA,1390,NA,NA,NA,224,G00000437
BKLYN AVE,BKLYN AVE,NULL,NULL,1767,1849,1768,1850,999,999,225,G00000438
EAST PKWY,EAST PKWY,NULL,NULL,NA,NA,1814,1844,643,643,226,G00000439
AVE J,AVE J,NULL,NULL,NA,NA,NA,NA,1008,1008,227,G00000443
E 89,E 89,NULL,NULL,739,739,714,742,990,990,228,G00000444
48,48,NULL,NULL,401,475,402,476,144,148,229,G00000449
80,80,NULL,NULL,2001,2083,2002,2084,1057,1057,230,G00000450
E 88,E 88,NULL,NULL,701,749,702,750,990,990,231,G00000454
E 16,E 16,NULL,NULL,367,413,372,430,1014,1024,232,G00000455
77,77,NULL,NULL,1201,1273,1202,1284,1072,1072,233,G00000456
ROEBLING,ROEBLING,NULL,NULL,193,175,194,180,266,265,234,G00000460
ROGERS AVE,ROGERS AVE,NULL,NULL,1191,1213,1198,1222,1405,1012,235,G00000462
COLONIAL RD,COLONIAL RD,NULL,NULL,7901,NA,7902,NA,1099,1099,236,G00000468
SHEPHERD AVE,SHEPHERD AVE,NULL,NULL,437,471,426,454,777,777,237,G00000473
AVE J,AVE J,NULL,NULL,1801,1823,1804,1820,1008,1008,238,G00000478
10 AVE,10 AVE,NULL,NULL,4601,4623,4602,4624,1089,1089,239,G00000480
E 16,E 16,NULL,NULL,1701,1781,1702,1798,1007,1007,240,G00000483
WELLINGTON CT,WELLINGTON CT,NULL,NULL,15,65,16,66,1406,1406,241,G00000485
HAMBURG AVE,WILSON AVE,HAMBURG AVE,NULL,93,107,96,110,845,834,242,G00000486
DITMAS AVE,DITMAS AVE,NULL,NULL,901,925,902,936,1023,1026,243,G00000493
S 1,S 1,NULL,NULL,109,147,108,140,263,263,244,G00000494
HENRY,HENRY,NULL,NULL,569,587,554,572,79,75,245,G00000496
BRGHTN 3,BRGHTN 3,NULL,NULL,NA,NA,NA,NA,1035,1035,246,G00000497
PROSPECT PL,PROSPECT PL,NULL,NULL,797,865,802,876,654,654,247,G00000498
E NEW YORK AVE,E NEW YORK AVE,NULL,NULL,NA,NA,NA,NA,949,949,248,G00000501
MORGAN AVE,MORGAN AVE,NULL,NULL,647,681,648,682,396,396,249,G00000502
HERKIMER,HERKIMER,NULL,NULL,869,891,870,892,705,705,250,G00000503
6 AVE,6 AVE,NULL,NULL,4901,4923,4902,4922,147,147,251,G00000504
WILLOUGHBY,WILLOUGHBY,NULL,NULL,95,115,86,104,226,227,252,G00000505
E 89,E 89,NULL,NULL,NA,NA,NA,NA,990,990,253,G00000506
BAY 13,BAY 13,NULL,NULL,1,81,2,84,1075,1075,254,G00000509
VAN BRUNT,VAN BRUNT,NULL,NULL,403,419,424,440,240,240,255,G00000510
89,89,NULL,NULL,17,97,18,98,1083,1082,256,G00000511
W 1,W 1,NULL,NULL,1515,1543,1502,1556,1031,1031,257,G00000512
BROADWAY,BROADWAY,NULL,NULL,1389,1391,1390,1392,891,689,258,G00000517
HENRY,HENRY,NULL,NULL,493,511,486,500,63,72,259,G00000522
WITHERS,WITHERS,NULL,NULL,211,249,208,244,410,410,260,G00000523
FOSTER AVE,FOSTER AVE,NULL,NULL,NA,NA,NA,NA,1026,1029,261,G00000528
PITKIN AVE,PITKIN AVE,NULL,NULL,2457,2479,2458,2484,777,777,262,G00000529
AVE Y,AVE Y,NULL,NULL,NA,NA,NA,NA,1003,1003,263,G00000532
HIGHLAWN AVE,HIGHLAWN AVE,NULL,NULL,119,143,120,144,1031,1031,264,G00000536
RUTLAND RD,RUTLAND RD,NULL,NULL,NA,NA,NA,NA,949,954,265,G00000539
GARDNER AVE,GARDNER AVE,NULL,NULL,NA,NA,NA,NA,416,416,266,G00000540
GLENWOOD RD,GLENWOOD RD,NULL,NULL,NA,NA,NA,NA,995,999,267,G00000541
52,52,NULL,NULL,1101,1169,1102,1171,1067,1067,268,G00000542
86,86,NULL,NULL,NA,NA,NA,NA,1038,1038,269,G00000544
PENNSYLVAN AVE,PENNSYLVAN AVE,NULL,NULL,283,329,286,332,792,792,270,G00000545
FLATLAND AVE,FLATLAND AVE,NULL,NULL,9201,9229,NA,NA,987,987,271,G00000546
7 AVE,7 AVE,NULL,NULL,6401,6423,6402,6418,1087,1096,272,G00000547
NASSAU AVE,NASSAU AVE,NULL,NULL,169,183,164,180,393,393,273,G00000548
GLENMORE AVE,GLENMORE AVE,NULL,NULL,823,837,816,836,977,977,274,G00000549
COLLEGE PL,COLLEGE PL,NULL,NULL,1,35,2,36,4,4,275,G00000552
BRG,BRG,NULL,NULL,295,327,294,328,226,40,276,G00000553
MIDDLETON,MIDDLETON,NULL,NULL,59,103,48,94,446,447,277,G00000557
BAYARD,BAYARD,NULL,NULL,85,123,88,126,405,404,278,G00000559
WYTHE AVE,WYTHE AVE,NULL,NULL,221,235,252,268,284,283,279,G00000560
5 AVE,5 AVE,NULL,NULL,8825,8923,8902,8924,1080,1080,280,G00000562
LUQUER,LUQUER,NULL,NULL,207,215,188,210,259,259,281,G00000564
WYTHE AVE,WYTHE AVE,NULL,NULL,375,389,408,424,269,269,282,G00000565
WYCKOFF AVE,WYCKOFF AVE,NULL,NULL,NA,NA,NA,NA,865,865,283,G00000566
E 18,E 18,NULL,NULL,1715,1785,1716,1786,1007,1007,284,G00000568
E 24,E 24,NULL,NULL,1483,1497,1480,1500,1008,1008,285,G00000570
LORIMER,LORIMER,NULL,NULL,525,547,526,548,309,311,286,G00000571
8 AVE,8 AVE,NULL,NULL,4401,4425,4402,4424,146,146,287,G00000572
VERMONT,VERMONT,NULL,NULL,309,353,310,358,757,757,288,G00000575
7 AVE,7 AVE,NULL,NULL,7,19,8,24,176,176,289,G00000578
SCHOLES,SCHOLES,NULL,NULL,81,117,80,114,331,332,290,G00000579
DIVISION AVE,DIVISION AVE,NULL,NULL,225,239,200,224,274,436,291,G00000580
MALBONE,EMPIRE BLVD,MALBONE,NULL,775,857,776,858,679,679,292,G00000582
HEGEMAN AVE,HEGEMAN AVE,NULL,NULL,635,657,636,658,808,985,293,G00000583
ATLANTIC AVE,ATLANTIC AVE,NULL,NULL,2719,2743,NA,NA,760,760,294,G00000584
CONEY IS AVE,CONEY IS AVE,NULL,NULL,NA,NA,NA,NA,1407,1037,295,G00000587
RALPH AVE,RALPH AVE,NULL,NULL,0,0,0,0,708,705,296,G00000589
79,79,NULL,NULL,2001,2075,2002,2084,1057,1057,297,G00000590
E 19,E 19,NULL,NULL,217,269,200,272,1018,1018,298,G00000591
BAINBRIDGE,BAINBRIDGE,NULL,NULL,277,351,278,356,700,700,299,G00000594
LEXINGTON AVE,LEXINGTON AVE,NULL,NULL,69,125,66,118,105,109,300,G00000595
BRADFORD,BRADFORD,NULL,NULL,100,102,168,170,760,760,301,G00000596
WASHINGTON AVE,WASHINGTON AVE,NULL,NULL,393,461,406,480,108,474,302,G00000597
NOSTRAND AVE,NOSTRAND AVE,NULL,NULL,553,573,584,610,624,623,303,G00000599
LEXINGTON AVE,LEXINGTON AVE,NULL,NULL,699,761,660,724,595,595,304,G00000600
KNICKERBOCKER AVE,KNICKERBOCKER AVE,NULL,NULL,1,27,2,28,425,425,305,G00000601
E 94,E 94,NULL,NULL,603,685,604,686,987,987,306,G00000602
ESSEX,ESSEX,NULL,NULL,625,649,NA,NA,810,810,307,G00000603
BENSON AVE,BENSON AVE,NULL,NULL,2151,2201,2152,2202,1052,1052,308,G00000605
BAY VIEW PL,BAY VIEW PL,NULL,NULL,8901,8923,8902,8924,990,990,309,G00000607
NICHOLS AVE,NICHOLS AVE,NULL,NULL,195,239,206,236,970,970,310,G00000609
AVE N,AVE N,NULL,NULL,4401,4421,4402,4422,1000,1000,311,G00000610
STERLING,STERLING,NULL,NULL,1,109,2,108,682,682,312,G00000613
BKLYN AVE,BKLYN AVE,NULL,NULL,NA,NA,NA,NA,625,625,313,G00000614
CHURCH AVE,CHURCH AVE,NULL,NULL,NA,NA,NA,NA,953,990,314,G00000616
ELDERT,ELDERT,NULL,NULL,171,233,180,232,907,907,315,G00000617
